id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
174,Baningime,Beni,Baningime,34,3,8,u,Season-long loan to Wigan Athletic,2019-01-31T23:01:20Z,4.3,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Calvert-Lewin,Dominic,Calvert-Lewin,29,4,8,a,,2019-05-10T13:31:22Z,5.4,-1,1,0,1.9,92,2.6,1769,6,5,8,26,0,0,0,3,0,0,3,267,321.8,185.7,618,111.5
177,Tosun,Cenk,Tosun,14,4,8,a,,,6.4,-6,6,0,1.5,56,2.2,1044,3,3,1,17,0,0,0,3,0,0,3,166,212.6,172.2,546,92.8
393,Richarlison,Richarlison,de Andrade,30,3,8,a,,2019-05-03T21:01:20Z,6.4,-1,1,2,13.3,153,4.4,2662,13,3,11,36,0,0,0,5,1,0,12,400,698.4,350.7,1209,224.5
469,Mirallas,Kevin,Mirallas,8,3,8,u,Season-long loan to Fiorentina,2018-08-05T06:50:01Z,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Sandro,Sandro,Ramírez,9,4,8,u,Season-long loan to Real Sociedad,2018-08-31T09:31:13Z,5.4,-1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Digne,Lucas,Digne,12,2,8,a,,2019-04-21T14:31:21Z,5.4,4,-4,4,10.2,158,4.5,2964,4,5,13,38,1,0,0,5,1,0,22,736,883,1142,300,232.7
506,Mina,Yerry,Mina,13,2,8,a,,2019-03-26T13:31:23Z,5.4,-1,1,0,0.5,36,2.8,891,1,0,3,13,0,0,0,3,0,0,2,176,198.2,37.5,61,29.6
507,Bernard,Bernard,Anacio Caldeira Duarte,20,3,8,a,,2018-08-30T09:01:12Z,5.9,-1,1,0,0.3,88,2.6,2108,1,4,13,19,0,0,0,5,0,0,5,319,366,589.6,377,133.3
508,Andre Gomes,Andre Filipe,Tavares Gomes,8,3,8,a,,2019-04-16T21:01:20Z,5.4,-1,1,1,0.2,64,2.4,1977,1,2,9,28,0,0,0,7,0,0,2,268,268.4,154.6,207,63.1
